ride_id,date,time,day_of_week,hour,is_weekend,pickup_location,drop_location,vehicle_type,distance_km,trip_duration_min,payment_type,weather,surge_multiplier,ride_status,fare_amount,driver_rating,customer_rating
UB110471,2024-01-01,00:17,Monday,0,False,Mall District,Tech Park,Moto,3.93,13.9,Card,Clear,1.0,Completed,49.7,4.6,4.8
UB116914,2024-01-01,01:54,Monday,1,False,Riverside,Old City,Moto,9.31,32.4,UPI,Rain,1.0,Completed,96.78,4.8,4.9
UB110929,2024-01-01,03:12,Monday,3,False,Suburb South,Railway Station,Auto,8.47,23.0,UPI,Cloudy,1.0,Completed,115.76,3.9,4.7
UB112942,2024-01-01,03:22,Monday,3,False,Mall District,University Area,UberGo,0.85,3.0,Card,Rain,1.0,Completed,53.85,5.0,5.0
UB113679,2024-01-01,03:32,Monday,3,False,Suburb South,Tech Park,Auto,7.99,22.3,UPI,Cloudy,1.0,No Cars Available,0.0,,
UB113705,2024-01-01,03:43,Monday,3,False,Railway Station,University Area,Moto,4.18,13.3,Wallet,Cloudy,1.0,Completed,50.72,4.1,4.2
UB102265,2024-01-01,05:32,Monday,5,False,Tech Park,Railway Station,UberX,7.61,21.7,Wallet,Clear,1.0,Completed,192.99,4.8,5.0
UB115791,2024-01-01,05:52,Monday,5,False,University Area,Downtown,UberX,8.78,28.4,UPI,Rain,1.0,Completed,220.26,4.6,4.7
UB116404,2024-01-01,06:03,Monday,6,False,Downtown,Tech Park,Moto,11.67,42.1,UPI,Clear,1.0,Completed,118.7,4.7,4.7
UB108769,2024-01-01,07:36,Monday,7,False,Suburb North,Old City,UberGo,12.86,41.6,Card,Clear,1.0,Completed,243.86,4.2,4.6
UB118196,2024-01-01,07:43,Monday,7,False,Old City,Railway Station,Premier,4.88,5.7,Card,Clear,1.0,No Cars Available,0.0,,
UB103517,2024-01-01,08:09,Monday,8,False,Riverside,Mall District,UberGo,9.64,27.6,Cash,Clear,1.5,Completed,281.16,4.4,4.5
UB110369,2024-01-01,08:18,Monday,8,False,Airport,Suburb North,UberX,8.76,26.6,Cash,Clear,1.2,Completed,260.11,4.3,5.0
UB117945,2024-01-01,08:24,Monday,8,False,Tech Park,Railway Station,Moto,3.83,8.6,UPI,Clear,1.0,Completed,44.86,4.7,4.9
UB100649,2024-01-01,08:34,Monday,8,False,Suburb South,Downtown,UberGo,3.4,11.2,Card,Clear,1.2,Completed,113.04,4.2,4.1
UB110127,2024-01-01,08:47,Monday,8,False,Airport,Downtown,UberGo,2.94,12.0,Cash,Cloudy,1.2,Completed,108.41,4.7,5.0
UB109598,2024-01-01,08:59,Monday,8,False,Tech Park,Railway Station,Auto,8.6,22.8,UPI,Rain,1.0,Completed,116.6,4.8,5.0
UB112316,2024-01-01,09:20,Monday,9,False,Mall District,Railway Station,Auto,4.55,9.1,Card,Fog,1.8,Completed,126.9,4.8,4.8
UB114712,2024-01-01,09:32,Monday,9,False,Old City,Mall District,Auto,3.54,13.5,Card,Clear,1.2,Completed,80.18,4.6,5.0
UB103005,2024-01-01,09:58,Monday,9,False,Railway Station,Suburb North,UberGo,2.87,3.0,Cash,Rain,1.0,Completed,76.07,4.4,4.6
UB107274,2024-01-01,10:39,Monday,10,False,Suburb North,Suburb South,Moto,1.81,8.9,UPI,Clear,1.0,Completed,32.98,4.5,4.1
UB106029,2024-01-01,11:43,Monday,11,False,Old City,Mall District,UberGo,3.21,6.1,UPI,Fog,1.0,Completed,84.46,4.6,5.0
UB107020,2024-01-01,11:49,Monday,11,False,Tech Park,Railway Station,UberX,4.58,19.5,Card,Clear,1.0,Completed,149.64,4.3,4.6
UB107891,2024-01-01,14:06,Monday,14,False,Railway Station,Suburb North,UberGo,8.85,35.5,Card,Clear,1.0,Completed,190.6,4.8,5.0
UB115338,2024-01-01,14:10,Monday,14,False,Old City,Airport,Auto,2.74,12.3,Card,Clear,1.0,Completed,59.22,4.6,4.8
UB103368,2024-01-01,15:44,Monday,15,False,University Area,Mall District,UberGo,4.39,16.3,UPI,Fog,1.0,Completed,112.74,4.6,5.0
UB108776,2024-01-01,16:52,Monday,16,False,Tech Park,Suburb North,UberGo,4.48,17.4,UPI,Cloudy,1.0,Completed,115.38,4.3,5.0
UB113193,2024-01-01,16:55,Monday,16,False,Riverside,Old City,UberGo,7.21,16.1,Card,Cloudy,1.0,Completed,143.46,5.0,4.9
UB114597,2024-01-01,17:03,Monday,17,False,Railway Station,Suburb North,UberGo,3.25,11.0,Card,Rain,1.0,Cancelled by Rider,0.0,,
UB117033,2024-01-01,17:39,Monday,17,False,Downtown,Railway Station,UberGo,8.42,32.8,Cash,Clear,1.0,Completed,181.82,5.0,4.7
UB106437,2024-01-01,17:58,Monday,17,False,University Area,Riverside,UberX,5.41,9.9,Card,Fog,1.0,Completed,143.15,5.0,5.0
UB109627,2024-01-01,18:16,Monday,18,False,Tech Park,Old City,UberX,4.99,9.3,UPI,Clear,1.0,Completed,136.61,3.9,4.5
UB105972,2024-01-01,18:25,Monday,18,False,Suburb North,Mall District,Premier,15.73,40.9,Card,Clear,1.0,Completed,437.39,4.9,4.5
UB115946,2024-01-01,18:50,Monday,18,False,Mall District,Riverside,Auto,16.68,53.3,Cash,Clear,1.2,Completed,254.09,4.0,5.0
UB104171,2024-01-01,19:01,Monday,19,False,Suburb South,Tech Park,Premier,3.42,11.3,Cash,Clear,1.2,Completed,195.6,4.2,4.7
UB105224,2024-01-01,19:38,Monday,19,False,Riverside,Airport,UberX,12.05,48.4,UPI,Cloudy,1.2,Completed,358.52,4.6,4.2
UB116908,2024-01-01,19:39,Monday,19,False,Suburb North,Airport,Auto,2.75,6.7,Card,Clear,1.2,Completed,64.44,4.7,4.5
UB116314,2024-01-01,20:00,Monday,20,False,Riverside,University Area,UberX,2.88,9.1,Cash,Clear,1.0,Completed,108.82,4.5,4.6
UB112178,2024-01-01,20:27,Monday,20,False,Downtown,Old City,UberX,2.31,5.1,Card,Clear,1.0,Completed,94.21,5.0,4.9
UB110036,2024-01-01,20:38,Monday,20,False,Railway Station,Mall District,UberGo,3.61,12.9,UPI,Clear,1.0,Completed,99.06,4.2,4.4
UB113830,2024-01-01,20:44,Monday,20,False,Railway Station,Suburb North,UberXL,3.2,4.8,Card,Rain,1.5,Completed,196.2,3.9,5.0
UB106731,2024-01-01,20:53,Monday,20,False,University Area,Mall District,UberX,0.8,7.4,Card,Clear,1.0,Completed,78.72,4.1,4.4
